Recommended: S&P Capital IQ - Standard,Period Ended,Financial Filing Date,Spot Exchange Rate,Average Exchange Rate, ,($000),Revenue,        Total Revenue,Cost Of Goods Sold,        Gross Profit, ,Selling General & Admin Exp.,Provision for Bad Debts,R & D Exp.,Depreciation & Amort.,Amort. of Goodwill and Intangibles,Other Operating Expense,"        Other Operating Exp., Total",        Operating Income, ,Interest Expense,Interest and Invest. Income,        Net Interest Exp.,Currency Exchange Gains,Other Non-Operating Inc.,        EBT Excl Unusual Items,Impairment of Goodwill,Gain (Loss) On Sale Of Invest.,Gain (Loss) On Sale Of Assets,Asset Writedown,Other Unusual Items,        EBT Incl. Unusual Items, ,Income Tax Expense,        Earnings from Cont. Ops.,Earnings of Discontinued Ops.,        Net Income to Company,Minority Int. in Earnings,        Net Income,        NI to Common Incl Extra Items,        NI to Common Excl. Extra Items,Per Share Items ($),Basic EPS,Basic EPS Excl. Extra Items,Weighted Avg. Basic Shares Out. (actual),Diluted EPS Incl. Extra Items,Diluted EPS Excl. Extra Items,Weighted Avg. Diluted Shares Out. (actual),Normalized Basic EPS,Normalized Diluted EPS,Dividends per Share,Payout Ratio (%),Shares per Depositary Receipt (actual),Supplemental Items ($000),EBITDA,EBITA,EBIT,Effective Tax Rate (%),Current Domestic Taxes,Total Current Taxes,Deferred Domestic Taxes,Total Deferred Taxes,Normalized Net Income,Supplemental Operating Expense Items ($000),Marketing Expense,Selling and Marketing Expense,General and Administrative Expense,R&D Expense,"Stock-Based Comp., Unallocated","        Stock-Based Comp., Total",CIQ Restatement Type Code,CIQ Calculation Type Code,Stock Based Compensation ($000),"Stock Options Comp. Exp., Before Tax","Stock Based Comp. Exp., Before Tax"
2013 FQ3,9/30/13,11/6/14,1.353730,1.324438,,,"5,137,496","5,137,496","2,603,846","2,533,651",,NA,NA,NA,,,"1,920,436","1,920,436","613,215",,"(34,435)","6,622","(27,813)",NA,NA,"585,402",NA,NA,NA,NA,NA,"585,402",,"164,230","421,171",NA,"421,171","(2,649)","418,523","418,523","418,523",,2.00,2.00,"209,216,186",2.00,2.00,"209,216,186",1.74,1.74,NA,0.00,1,,"709,899","613,215","613,215",28.05,,NA,,NA,"363,227",,NA,NA,NA,NA,NA,NA,NC,REP,,,NA
2013 FQ4,12/31/13,3/5/15,1.377790,1.361409,,,"4,736,343","4,736,343","2,487,295","2,249,048",,"743,329",NA,NA,,,"1,379,108","2,122,437","126,611",,"(8,168)","13,614","5,446","(24,505)","1,361","108,913","(70,793)","(4,084)","8,168","(2,723)",NA,"39,481",,"51,734","(12,253)",NA,"(12,253)",0,"(12,253)","(12,253)","(12,253)",,(0.06),(0.06),"200,000,000",(0.07),(0.07),"200,000,000",0.34,0.34,2.04,0.00,1,,"167,453","126,611","126,611",131.03,,"487,385",,"(19,060)","68,070",,NA,"743,329",NA,"174,260",NA,NA,O,Q4,,,NA
2014 FQ1,3/31/14,5/5/15,1.378360,1.370335,,,"4,768,766","4,768,766","2,424,123","2,344,643",,"168,551",NA,NA,,,"1,755,399","1,923,950","420,693",,"(27,407)","9,592","(17,814)",NA,NA,"402,879",NA,NA,NA,NA,NA,"402,879",,"116,478","286,400","(4,111)","282,289","(2,741)","279,548","279,548","283,659",,1.34,1.36,"209,216,186",1.31,1.33,"215,233,140",1.19,1.16,NA,NA,1,,"515,246","420,693","420,693",28.91,,NA,,NA,"249,058",,"168,551","168,551",NA,NA,NA,NA,RD,REP,,,NA
2014 FQ2,6/30/14,8/8/15,1.368738,1.371462,,,"4,662,969","4,662,969","2,368,514","2,294,455",,NA,NA,NA,,,"1,992,734","1,992,734","301,722",,"(27,429)","6,857","(20,572)",NA,"(1,371)","279,778",NA,NA,"(2,743)",NA,NA,"277,035",,"80,916","196,119","2,743","198,862","(1,371)","197,490","197,490","194,748",,0.94,0.93,"209,216,186",0.94,0.93,"209,216,186",0.83,0.83,NA,218.06,1,,"404,581","301,722","301,722",29.21,,NA,,NA,"173,490",,NA,NA,NA,NA,NA,NA,RD,REP,,,NA
2014 FQ3,9/30/14,11/5/15,1.263105,1.325496,,,"5,360,305","5,360,305","2,818,004","2,542,301",,NA,NA,NA,,,"2,013,428","2,013,428","528,873",,"(15,906)","6,627","(9,278)",NA,NA,"519,594",NA,NA,NA,NA,NA,"519,594",,"148,456","371,139","5,302","376,441","(2,651)","373,790","373,790","368,488",,1.79,1.76,"209,216,186",1.79,1.76,"209,216,186",1.54,1.54,NA,0.00,1,,"629,610","528,873","528,873",28.57,,NA,,NA,"322,095",,NA,NA,NA,NA,NA,NA,RD,REP,,,NA
2014 FQ4,12/31/14,3/3/16,1.210507,1.248719,,,"4,507,877","4,507,877","2,483,703","2,024,174",,"6,621,959",NA,"157,339",,,"(4,815,062)","1,964,236","59,939",,"(14,985)","4,995","(9,990)","(3,746)",0,"46,203","(97,400)","(2,497)","7,492","(19,980)",NA,"(66,182)",,"18,731","(84,913)","(88,659)","(173,572)","(1,249)","(174,821)","(174,821)","(86,162)",,(0.84),(0.41),"208,955,223",(0.84),(0.42),"208,955,223",0.13,0.13,1.87,0.00,1,,"101,146","61,187","59,939",NM,,"393,347",,"(53,695)","27,628",,NA,"5,310,804","1,311,155","157,339",NA,NA,RC,Q4,,,NA
2015 FQ1,3/31/15,5/4/16,1.073422,1.126887,,,"4,601,081","4,601,081","2,337,164","2,263,917",,NA,NA,NA,,,"1,854,857","1,854,857","409,060",,"(18,030)","18,030",0,NA,NA,"409,060","(20,284)",NA,NA,NA,NA,"388,776",,"121,704","267,072","(15,776)","251,296","(2,254)","249,042","249,042","264,819",,1.22,1.30,"204,153,362",1.22,1.30,"204,153,362",1.24,1.24,NA,NA,1,,"496,957","409,060","409,060",31.30,,NA,,NA,"253,409",,NA,NA,NA,NA,NA,NA,NC,REP,,,NA
2015 FQ2,6/30/15,8/4/16,1.112471,1.106567,,,"4,323,356","4,323,356","2,233,052","2,090,304",,NA,NA,NA,,,"1,832,474","1,832,474","257,830",,"(18,812)","8,853","(9,959)",NA,"1,107","248,978",NA,NA,NA,NA,NA,"248,978",,"87,419","161,559","1,107","162,665","(1,107)","161,559","161,559","160,452",,0.80,0.80,"201,644,392",0.80,0.80,"201,644,392",0.77,0.77,NA,207.53,1,,"349,675","257,830","257,830",35.11,,NA,,NA,"154,504",,NA,NA,NA,NA,NA,NA,RC,REP,,,NA
2015 FQ3,9/30/15,11/3/16,1.116071,1.111629,,,"5,289,129","5,289,129","2,727,937","2,561,193",,NA,NA,NA,,,"1,999,820","1,999,820","561,372",,"(20,009)","8,893","(11,116)",NA,NA,"550,256",NA,NA,NA,NA,NA,"550,256",,"175,637","374,619","(25,567)","349,051","(3,335)","345,717","345,717","371,284",,1.73,1.85,"200,197,417",1.72,1.85,"200,645,161",1.70,1.70,NA,0.00,1,,"654,749","561,372","561,372",31.92,,NA,,NA,"340,575",,NA,NA,NA,NA,NA,NA,NC,REP,,,NA
2015 FQ4,12/31/15,3/8/17,1.086130,1.095102,,,"4,563,289","4,563,289","2,411,414","2,151,875",,"7,325,135",NA,"152,219",,,"(5,334,240)","2,143,114","8,761",,"(27,378)",NA,"(27,378)","27,378",0,"8,761","(17,522)",NA,"1,095","(19,712)",NA,"(27,378)",,"8,761","(36,138)","(10,951)","(47,089)","(1,095)","(48,184)","(48,184)","(37,233)",,(0.24),(0.19),"200,000,000",(0.25),(0.20),"200,000,000",0.02,0.02,1.75,0.00,1,,"45,994","8,761","8,761",NM,,"480,750",,"(94,179)","4,380",,NA,"5,846,748","1,478,387","152,219",NA,NA,RC,Q4,,,NA
2016 FQ1,3/31/16,8/3/17,1.139341,1.102571,,,"5,029,927","5,029,927","2,505,040","2,524,887",,NA,NA,NA,,,"1,951,550","1,951,550","573,337",,"(14,333)","22,051","7,718",NA,"(2,205)","578,850",NA,NA,NA,NA,NA,"578,850",,"173,104","405,746","(19,846)","385,900",0,"385,900","385,900","405,746",,1.93,2.03,"199,705,179",1.88,1.98,"207,724,599",1.81,1.74,NA,NA,1,,"668,158","573,337","573,337",29.91,,NA,,NA,"361,781",,NA,NA,NA,NA,NA,NA,RS,RSQ,,,NA
2016 FQ2,6/30/16,8/3/17,1.109878,1.129232,,,"4,741,645","4,741,645","2,400,747","2,340,898",,NA,NA,NA,,,"1,856,457","1,856,457","484,440",,"(15,809)","10,163","(5,646)",NA,"2,258","481,053",NA,NA,NA,NA,NA,"481,053",,"140,025","341,028","(11,292)","329,736","(1,129)","328,606","328,606","339,899",,1.64,1.69,"200,689,655",1.60,1.66,"204,929,577",1.49,1.46,NA,NA,1,,"574,779","484,440","484,440",29.11,,NA,,NA,"299,529",,NA,NA,NA,NA,NA,NA,RD,REP,,,NA
2016 FQ3,9/30/16,11/9/17,1.124101,1.116165,,,"5,828,614","5,828,614","3,027,039","2,801,574",,NA,NA,NA,,,"2,140,804","2,140,804","660,770",,"(26,788)","6,697","(20,091)",NA,"(1,116)","639,563",NA,NA,NA,NA,NA,"639,563",,"185,283","454,279","(22,323)","431,956","(1,116)","430,840","430,840","453,163",,2.15,2.27,"200,000,000",2.10,2.21,"205,319,148",1.99,1.94,NA,0.00,1,,"767,922","660,770","660,770",28.97,,NA,,NA,"398,610",,NA,NA,NA,NA,NA,NA,RD,REP,,,NA
2016 FQ4,12/31/16,3/14/18,1.054630,1.077748,,,"4,849,865","4,849,865","2,449,721","2,400,144",,"7,774,872",NA,"160,584",,,"(5,479,270)","2,456,187","(56,043)",,"(34,488)",NA,"(34,488)","5,389","1,078","(84,064)",NA,"(5,389)","45,265","(19,399)","74,365","10,777",,"6,466","4,311","(15,088)","(10,777)",0,"(10,777)","(10,777)","4,311",,(0.05),0.02,"200,000,000",(0.05),0.02,"200,000,000",(0.26),(0.26),2.16,0.00,1,,"(29,099)","(54,965)","(56,043)",60.00,,NA,,NA,"(52,540)",,NA,"6,045,087","1,729,785","160,584",754,754,RD,Q4,,,754
2017 FQ1,3/31/17,5/3/18,1.069976,1.065605,,,"5,804,352","5,804,352","2,924,021","2,880,331",,"2,261,214",NA,NA,,,"(59,674)","2,201,540","678,791",,"(21,312)","29,837","8,525",NA,NA,"687,315",NA,NA,NA,NA,NA,"687,315",,"195,006","492,310","(6,394)","485,916","(1,066)","484,850","484,850","491,244",,2.41,2.44,"201,209,054",2.38,2.41,"204,273,231",2.13,2.10,NA,NA,1,,"791,745","678,791","678,791",28.37,,NA,,NA,"428,506",,"671,331","671,331",NA,NA,NA,NA,RD,REP,,,NA
2017 FQ2,6/30/17,8/9/18,1.140901,1.101298,,,"5,548,340","5,548,340","2,767,562","2,780,778",,NA,NA,NA,,,"2,223,521","2,223,521","557,257",,"(28,634)","7,709","(20,925)",NA,"(1,101)","535,231",NA,NA,NA,NA,NA,"535,231",,"153,080","382,150","(208,145)","174,005",NA,"174,005","174,005","382,150",,0.86,1.89,"202,564,102",0.86,1.89,"202,564,102",1.65,1.65,NA,256.33,1,,"669,589","557,257","557,257",28.60,,NA,,NA,"334,519",,NA,NA,NA,NA,NA,NA,NC,REP,,,NA
2017 FQ3,9/30/17,11/7/18,1.182313,1.174938,,,"6,670,121","6,670,121","3,306,274","3,363,846",,"2,502,617",NA,NA,,,"(74,021)","2,428,596","935,250",,"(41,123)","8,225","(32,898)",NA,0,"902,352",NA,NA,NA,NA,NA,"902,352",,"257,311","645,041","(25,849)","619,192","(1,175)","618,017","618,017","643,866",,3.05,3.18,"202,756,583",3.02,3.15,"204,236,828",2.78,2.76,NA,0.00,1,,"1,073,893","935,250","935,250",28.52,,NA,,NA,"562,795",,"783,683","783,683",NA,NA,NA,NA,NC,REP,,,NA
2017 FQ4,12/31/17,3/13/19,1.200768,1.177619,,,"5,954,042","5,954,042","2,876,923","3,077,118",,"2,679,083","43,572",NA,,,"204,906","2,927,561","149,558",,"(11,776)","15,309","3,533","22,375","(35,329)","140,137",NA,NA,"3,533",NA,"1,178","144,847",,"149,558","(4,710)","(43,572)","(48,282)","(1,178)","(49,460)","(49,460)","(5,888)",,(0.24),(0.03),"205,000,000",(0.24),(0.03),"205,000,000",0.42,0.42,3.06,0.00,1,,"206,083","149,558","149,558",103.25,,"764,275",,"22,375","86,408",,NA,"6,022,343","1,846,507","220,215","39,804","39,804",RC,Q4,,,"39,804"
2018 FQ1,3/31/18,5/3/19,1.231982,1.228672,,,"6,816,671","6,816,671","3,333,386","3,483,284",,"2,614,613",NA,NA,,,"(46,690)","2,567,924","915,360",,"(19,659)","23,345","3,686",NA,"2,457","921,504",NA,NA,NA,NA,NA,"921,504",,"255,564","665,940","(1,229)","664,711","(1,229)","663,483","663,483","664,711",,3.25,3.26,"203,878,332",3.25,3.26,"204,249,548",2.82,2.81,NA,NA,1,,"1,054,200","915,360","915,360",27.73,,NA,,NA,"574,711",,NA,"867,442",NA,NA,NA,NA,RC,REP,,,NA
2018 FQ2,6/30/18,8/8/19,1.166725,1.191613,,,"6,269,075","6,269,075","2,989,757","3,279,318",,"2,632,273",NA,NA,,,"(60,772)","2,571,500","707,818",,"(21,449)","16,683","(4,766)",NA,"(3,575)","699,477",NA,NA,NA,NA,NA,"699,477",,"201,383","498,094","(25,024)","473,070","(1,192)","471,879","471,879","496,903",,2.32,2.45,"203,076,923",2.32,2.45,"203,076,923",2.15,2.15,NA,133.33,1,,"835,321","707,818","707,818",28.79,,NA,,NA,"435,981",,NA,"842,470",NA,NA,NA,NA,RC,REP,,,NA
2018 FQ3,9/30/18,11/6/19,1.161845,1.163041,,,"6,830,537","6,830,537","3,290,242","3,540,295",,"2,548,222",NA,NA,,,"(53,500)","2,494,722","1,045,573",,"(8,141)","15,120","6,978",NA,"2,326","1,054,878",NA,NA,NA,NA,NA,"1,054,878",,"291,923","762,955","3,489","766,444","(1,163)","765,281","765,281","761,792",,3.81,3.80,"200,609,756",3.80,3.79,"201,223,241",3.28,3.27,NA,NA,1,,"1,190,954","1,045,573","1,045,573",27.67,,NA,,NA,"658,136",,NA,"829,248",NA,NA,NA,NA,RC,REP,,,NA
2018 FQ4,12/31/18,3/11/20,1.144951,1.141147,,,"5,971,620","5,971,620","2,854,008","3,117,613",,"2,851,725",NA,NA,,,"73,033","2,924,759","192,854",,"(53,634)",NA,"(53,634)",NA,"61,622","200,842",NA,NA,NA,"(46,787)",NA,"154,055",,"46,787","107,268","15,976","123,244",0,"123,244","123,244","107,268",,0.62,0.54,"199,412,160",0.62,0.54,"199,782,922",0.63,0.63,3.82,0.00,1,,"358,320","192,854","192,854",30.37,,NA,,NA,"125,526",,NA,"6,076,606","1,798,447",NA,NA,NA,RC,Q4,,,NA
2019 FQ1,3/31/19,4/27/20,1.122334,1.135829,,,"6,682,081","6,682,081","3,103,084","3,578,997",,"2,631,715",NA,NA,,,"(46,569)","2,585,146","993,850",,"(39,754)","9,087","(30,667)",NA,NA,"963,183",NA,NA,NA,NA,NA,"963,183",,"246,475","716,708","2,272","718,980","(1,136)","717,844","717,844","715,572",,3.61,3.60,"198,742,138",3.61,3.60,"198,742,138",3.02,3.02,NA,NA,1,,"1,318,697","993,850","993,850",25.59,,NA,,NA,"600,853",,NA,"798,488",NA,NA,NA,NA,NC,REP,,,NA
2019 FQ2,6/30/19,8/6/20,1.137915,1.123667,,,"6,190,280","6,190,280","2,881,081","3,309,198",,"2,636,122",NA,NA,,,"(49,441)","2,586,681","722,518",,"(48,318)","20,226","(28,092)",NA,NA,"694,426",NA,NA,NA,NA,NA,"694,426",,"176,416","518,010","78,657","596,667",NA,"596,667","596,667","518,010",,3.01,2.61,"198,134,328",3.01,2.61,"198,134,328",2.19,2.19,NA,125.05,1,,"1,075,349","722,518","722,518",25.41,,NA,,NA,"434,016",,NA,"836,008",NA,NA,NA,NA,NC,REP,,,NA
2019 FQ3,9/30/19,11/10/20,1.090394,1.112035,,,"7,128,146","7,128,146","3,415,060","3,713,086",,"2,764,520",NA,NA,,,"(48,930)","2,715,590","997,496",,"(48,930)","13,344","(35,585)",NA,NA,"961,911",NA,NA,NA,NA,NA,"961,911",,"244,648","717,263","2,224","719,487","(1,112)","718,375","718,375","716,151",,3.64,3.63,"197,553,516",3.64,3.63,"197,553,516",3.04,3.04,NA,0.00,1,,"1,313,314","997,496","997,496",25.43,,NA,,NA,"600,082",,NA,"837,363",NA,NA,NA,NA,NC,REP,,,NA
2019 FQ4,12/31/19,3/10/21,1.122209,1.107280,,,"6,464,299","6,464,299","3,299,694","3,164,606",,"2,814,705","19,931",NA,,,"52,042","2,886,678","277,927",,"(53,149)","24,360","(28,789)","(5,536)","15,502","259,103",NA,NA,"(6,644)",NA,NA,"252,460",,"50,935","201,525","(16,609)","184,916",0,"184,916","184,916","201,525",,0.94,1.03,"196,192,895",0.94,1.03,"196,199,321",0.82,0.82,NA,0.00,1,,"643,330","364,295","277,927",20.18,,"1,102,851",,"(393,084)","161,940",,NA,"6,465,407","1,829,226",NA,"191,338","191,338",RC,Q4,,,"191,338"
2020 FQ1,3/31/20,5/8/21,1.098901,1.102228,,,"4,828,860","4,828,860","2,428,208","2,400,652",,"2,365,381",NA,NA,,,"(18,738)","2,346,643","54,009",,"(46,294)","7,716","(38,578)",NA,"(1,102)","14,329",NA,NA,NA,NA,NA,"14,329",,"(14,329)","28,658",NA,"28,658","5,511","34,169","34,169","34,169",,0.18,0.18,"193,750,000",0.18,0.18,"193,750,000",0.07,0.07,NA,NA,1,,"402,313","54,009","54,009",NM,,NA,,NA,"14,467",,NA,"714,244",NA,NA,NA,NA,NC,REP,,,NA
2020 FQ2,6/30/20,8/5/21,1.125366,1.101566,,,"3,692,450","3,692,450","1,796,655","1,895,796",,"2,213,047",NA,NA,,,"(29,742)","2,183,304","(287,509)",,"(46,266)","14,320","(31,945)",NA,"(2,203)","(321,657)",NA,NA,NA,NA,NA,"(321,657)",,"(53,977)","(267,681)","(81,516)","(349,197)","24,234","(324,962)","(324,962)","(243,446)",,(1.66),(1.25),"195,364,238",(1.66),(1.25),"195,364,238",(0.91),(0.91),NA,NA,1,,"74,907","(287,509)","(287,509)",16.78,,NA,,NA,"(176,801)",,NA,"578,322",NA,NA,NA,NA,RD,REP,,,NA
2020 FQ3,9/30/20,8/5/21,1.174260,1.169259,,,"6,973,458","6,973,458","3,485,560","3,487,898",,"2,599,262",NA,NA,,,"(39,755)","2,559,507","928,391",,"(51,447)","7,016","(44,432)",NA,"(1,169)","882,790",NA,NA,NA,NA,NA,"882,790",,"206,959","675,831","(1,169)","674,662","(36,247)","638,415","638,415","639,584",,3.27,3.28,"195,000,000",3.27,3.28,"195,000,000",2.64,2.64,NA,NA,1,,"1,337,632","928,391","928,391",23.44,,NA,,NA,"515,497",,NA,"677,001",NA,NA,NA,NA,NC,RUP,,,NA
2020 FQ4,12/31/20,,,1.216292,,,"6,511,538","6,511,538","3,340,054","3,171,484",,"2,946,886",,,,,,"2,946,886","224,599",,,,,,,,,,,,,,,"16,004","129,237","21,512",,,"145,825",,,,0.94,,"195,070,000",,,"196,000,000",0.56,0.56,,,,,"534,044","224,598",,,,,,,,,,,,,,,,,,,
2021 FQ1,3/31/21,5/8/21,1.173709,1.204902,,,"6,347,426","6,347,426","3,058,042","3,289,383",,"2,466,435",NA,NA,,,"(25,303)","2,441,132","848,251",,"(45,786)","3,615","(42,172)",NA,"(1,205)","804,875",NA,NA,NA,NA,NA,"804,875",,"200,014","604,861","62,655","667,516","4,820","672,336","672,336","609,681",,3.45,3.12,"195,104,895",3.45,3.12,"195,104,895",2.60,2.60,NA,NA,1,,"1,183,214","848,251","848,251",24.85,,NA,,NA,"507,866",,NA,"651,852",NA,NA,NA,NA,O,REP,,,NA
2021 FQ2,6/30/21,8/5/21,1.185677,1.205255,,,"6,119,082","6,119,082","2,948,055","3,171,027",,"2,540,678",NA,NA,,,"(22,900)","2,517,779","653,248",,"(44,594)","4,821","(39,773)",NA,"2,411","615,886",NA,NA,NA,NA,NA,"615,886",,"148,246","467,639","24,105","491,744","(13,258)","478,486","478,486","454,381",,2.45,2.32,"195,566,502",2.45,2.32,"195,566,502",1.90,1.90,NA,NA,1,,"1,002,772","653,248","653,248",24.07,,NA,,NA,"371,671",,NA,"742,437",NA,NA,NA,NA,O,REP,,,NA